DRUG_TYPE,DRUG_DESCRIPTOR,TARGET_TYPE,TWEET_COUNT,COMPANY_TYPE,NUMBER_OF_MONTHS,MARKET_CAP,CAGR_2,CAGR_5,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,PUBLICATION_COUNT,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,ACQUIRED,HOT/NOT
1,13,13,0,1,0,0,0,0,2,3,8,4,6,0,1,0,0,1,0,6,0,0
1,7,13,0,1,0,0,0,0,2,3,8,19,6,0,0,0,4,1,33.15,10,0,0
1,13,13,0,1,0,0,0,0,2,3,8,19,6,0,0,0,2,1,0,10,0,0
1,9,13,0,2,0,768.98,14.578,5.594,2,3,8,4,0,0,0,0,12,2,104.27,3,0,0
1,14,14,1000,2,0,2289.43,15.229,5.834,8,1,8,6,8,0,0,21317,0,6,0,6,0,1
1,14,0,0,1,0,0,0,0,7,9,8,1,8,0,0,12421,3,1,10.3,10,0,1
1,7,6,0,2,0,28442.19,215.391,58.32,2,3,8,6,6,0,2,532,8,1,1168.4,3,0,1
1,7,6,0,2,0,353.15,-77.176,-44.62,8,9,8,18,6,1,7,532,4,1,185.02,3,0,1
1,4,2,10,0,0,0,0,0,2,3,8,19,8,0,0,30495,0,6,0,6,0,0
1,11,13,0,2,0,768.98,14.578,5.594,2,3,8,4,0,0,0,0,12,2,104.27,3,0,0
1,9,13,0,1,0,0,0,0,2,3,8,19,8,1,0,0,0,6,0,6,0,0
2,9,15,6,2,0,53377.31,-11.486,-4.763,8,9,0,14,8,0,0,579,0,6,0,6,0,1
1,7,6,0,0,42,0,0,0,8,5,8,6,6,2,0,532,0,6,0,6,0,1
1,14,14,1000,1,0,0,0,0,8,1,8,6,8,0,0,21317,2,1,535.78,10,0,1
1,5,13,0,2,0,137.35,-20.641,-8.833,2,3,8,4,4,0,0,0,7,2,37.41,3,0,0
1,9,6,0,1,0,0,0,0,2,3,4,5,2,0,0,532,0,6,0,6,0,1
1,14,13,0,1,0,0,0,0,2,3,8,4,8,0,1,0,0,6,0,6,0,0
1,9,13,0,1,0,0,0,0,2,3,8,4,8,0,1,0,2,1,42.4,10,0,0
